,Players,Ratings,Season
332,Kevin Theophile-Catherine,72,2013
333,Craig Noone,72,2013
334,Fabio,72,2013
335,Ashley Westwood,72,2013
336,Yannick Bolasie,72,2013
337,Geoff Cameron,72,2013
338,Kyle Naughton,72,2013
339,Fabio Borini,72,2013
340,Yannick Sagbo,72,2013
341,Dan Gosling,72,2013
342,Ricky van Wolfswinkel,72,2013
343,Vito Mannone,72,2013
344,Erik Pieters,72,2013
345,Neil Taylor,72,2013
346,Wayne Hennessey,72,2013
347,Fraizer Campbell,72,2013
348,Victor Anichebe,72,2013
349,Scott Sinclair,72,2013
350,Cameron Jerome,72,2013
351,Joe Ledley,72,2013
352,Sebastian Larsson,72,2013
353,Phil Bardsley,72,2013
354,Robert Koren,72,2013
355,Jason Puncheon,72,2013
356,Carlos Cuellar,72,2013
357,Thomas Sorensen,72,2013
358,Alou Diarra,72,2013
359,Boaz Myhill,72,2013
360,Carlton Cole,72,2013
361,Grant Holt,72,2013
362,Pozuelo,71,2013
363,Alvaro,71,2013
364,Carl Jenkinson,71,2013
365,Bo Kyung Kim,71,2013
366,Luna,71,2013
367,Magaye Gueye,71,2013
368,Maya Yoshida,71,2013
369,Nathan Baker,71,2013
370,Elliott Bennett,71,2013
371,Jordon Mutch,71,2013
372,Jo Inge Berget,71,2013
373,Marc Albrighton,71,2013
374,Sone Aluko,71,2013
375,Glenn Murray,71,2013
376,Marc Wilson,71,2013
377,Brad Jones,71,2013
378,Damien Delaney,71,2013
379,Scott Dann,71,2013
380,Jerome Thomas,71,2013
381,Peter Odemwingie,71,2013
382,Steven Whittaker,71,2013
383,Derek Boateng,71,2013
384,Roger Johnson,71,2013
385,Serge Gnabry,70,2013
386,Dwight Gayle,70,2013
387,Jon Flanagan,70,2013
388,Joel Robles,70,2013
389,Jack Colback,70,2013
390,James Chester,70,2013
391,Ryan Bennett,70,2013
392,Chris Herd,70,2013
393,Barry Bannan,70,2013
394,David N'Gog,70,2013
395,Marvin Emnes,70,2013
396,Wilson Palacios,70,2013
397,Adrian Mariappa,70,2013
398,Dwight Tiendalli,70,2013
399,Joey O'Brien,70,2013
400,Luciano Becchio,70,2013
401,Matt Fryatt,70,2013
402,Magnus Wolff Eikrem,70,2013
403,Kelvin Davis,70,2013
404,Jos Hooiveld,70,2013
405,Billy Jones,70,2013
406,Jonathan Walters,70,2013
407,George McCartney,70,2013
408,Andrea Dossena,70,2013
